Company Name,TIDM,Sector,Country of Incorporation,LSE Market
Cvc Income & Growth Limited,CVCG,Financial Services ,Jersey,MAIN MARKET
Dalata Hotel Group Plc,DAL,Travel and Leisure,Ireland,MAIN MARKET
Dar Global Plc,DAR,Real Estate ,United Kingdom,MAIN MARKET
Darktrace Plc,DARK,Technology,United Kingdom,MAIN MARKET
Datang International Power Generation Company Ld,DAT,Utilities,China,MAIN MARKET
Davictus Plc,DVT,Financial Services ,Jersey,MAIN MARKET
Dcc Plc,DCC,Industrial Goods and Services,Ireland,MAIN MARKET
De La Rue Plc,DLAR,Industrial Goods and Services,United Kingdom,MAIN MARKET
Dechra Pharmaceuticals Plc,DPH,Health Care  ,United Kingdom,MAIN MARKET
Deliveroo Plc,ROO,Technology,United Kingdom,MAIN MARKET
Derwent London Plc,DLN,Real Estate ,United Kingdom,MAIN MARKET
Develop North Plc,DVNO,Financial Services ,United Kingdom,MAIN MARKET
Dfi Retail Group Holdings Limited,DFI,"Personal Care, Drug and Grocery Stores ",Bermuda,MAIN MARKET
Dfi Retail Group Holdings Limited,DFIB,"Personal Care, Drug and Grocery Stores ",Bermuda,MAIN MARKET
Dfi Retail Group Holdings Limited,DFIJ,"Personal Care, Drug and Grocery Stores ",Bermuda,MAIN MARKET
Dfs Furniture Plc,DFS,Retail ,United Kingdom,MAIN MARKET
Dg Innovate Plc,DGI,Automobiles and Parts,United Kingdom,MAIN MARKET
Diageo Plc,DGE,"Food, Beverage and Tobacco ",United Kingdom,MAIN MARKET
Dial Square Investments Plc,DSI,Financial Services ,United Kingdom,MAIN MARKET
Dialight Plc,DIA,Industrial Goods and Services,United Kingdom,MAIN MARKET
Digital 9 Infrastructure Plc,DGI9,Financial Services ,Jersey,MAIN MARKET
Diploma Plc,DPLM,Industrial Goods and Services,United Kingdom,MAIN MARKET
Direct Line Insurance Group Plc,DLG,Insurance,United Kingdom,MAIN MARKET
Discoverie Group Plc,DSCV,Industrial Goods and Services,United Kingdom,MAIN MARKET
